Tarih,Sembol,Fiyat,Hacim,Değişim (%)
2026-02-23 11:55:00,MSFT,385.77,6871196,-0.1
2026-02-23 12:00:00,MSFT,385.38,13547417,-0.1
2026-02-23 12:05:00,MSFT,385.83,232685,0.12
2026-02-23 12:10:00,MSFT,385.68,7117707,-0.04
2026-02-23 12:15:00,MSFT,385.76,115781,0.02
2026-02-23 12:20:00,MSFT,386.36,7220029,0.16
2026-02-23 12:25:00,MSFT,386.44,148209,0.02
2026-02-23 12:30:00,MSFT,386.49,197549,0.01
2026-02-23 12:35:00,MSFT,386.27,156295,-0.06
2026-02-23 12:40:00,MSFT,387.08,227508,0.21
2026-02-23 12:45:00,MSFT,387.55,7566534,0.12
2026-02-23 12:50:00,MSFT,387.6,7627720,0.01
2026-02-23 12:55:00,MSFT,387.47,135199,-0.03
2026-02-23 13:00:00,MSFT,387.04,7785403,-0.11
2026-02-23 13:05:00,MSFT,386.82,7845228,-0.06
2026-02-23 13:10:00,MSFT,387.17,129310,0.09
2026-02-23 13:15:00,MSFT,386.85,7899524,-0.08
2026-02-23 13:20:00,MSFT,386.93,237486,0.02
2026-02-23 13:25:00,MSFT,386.79,8035226,-0.04
2026-02-23 13:30:00,MSFT,386.88,8095737,0.02
2026-02-23 13:35:00,MSFT,387.29,16052206,0.11
2026-02-23 13:40:00,MSFT,386.96,126226,-0.08
2026-02-23 13:45:00,MSFT,387.4,8213155,0.11
2026-02-23 13:50:00,MSFT,386.6,110024,-0.21
2026-02-23 13:55:00,MSFT,386.35,8349878,-0.06
2026-02-23 14:00:00,MSFT,386.42,8699615,0.02
2026-02-23 14:05:00,MSFT,386.32,8538153,-0.03
2026-02-23 14:10:00,MSFT,386.53,17179253,0.05
2026-02-23 14:15:00,MSFT,386.36,69466,-0.04
2026-02-23 14:20:00,MSFT,386.23,86667,-0.03
2026-02-23 14:25:00,MSFT,386.17,8814954,-0.01
2026-02-23 14:30:00,MSFT,386.19,111868,0.01
2026-02-23 14:35:00,MSFT,385.86,9059293,-0.09
2026-02-23 14:40:00,MSFT,384.47,471801,-0.36
2026-02-23 14:45:00,MSFT,384.57,330767,0.03
2026-02-23 14:50:00,MSFT,383.77,9709097,-0.21
2026-02-23 14:55:00,MSFT,384.05,9847646,0.07
2026-02-23 15:00:00,MSFT,384.1,280561,0.01
2026-02-23 15:05:00,MSFT,383.45,10040639,-0.17
2026-02-23 15:10:00,MSFT,383.49,225468,0.01
2026-02-23 15:15:00,MSFT,383.75,208174,0.07
2026-02-23 15:20:00,MSFT,383.39,10264905,-0.09
